	Text	Similarity	Facts
42150	The object B is positioned below and to the right of the object R. H is at the bottom and Z is on the top. B is over there and D is directly above it. R is below H and to the left of H. D is above and to the right of C.	0.5172754476058973	"lower-right(B,R)
below(H,Z)
above(Z,H)
above(D,B)
lower-left(R,H)
upper-right(D,C)"
47657	R is on the lower left of J. The object T is positioned directly above the object R. M is to the right of I. D is at the bottom and M is on the top. D is below and to the right of J.	0.5138555049993211	"lower-left(R,J)
above(T,R)
right(M,I)
below(D,M)
above(M,D)
lower-right(D,J)"
40265	U is to the top-left of B. The object Z is lower and slightly to the right of the object U. Z is positioned below and to the right of O. O is over there and G is on the right. S is above and to the right of B.	0.5131356927949836	"upper-left(U,B)
lower-right(Z,U)
lower-right(Z,O)
right(G,O)
upper-right(S,B)"
40908	The object X is lower and slightly to the right of the object K. E is below R at 7 o'clock. G is on the top and M is at the bottom. E is to the left of K and is on the same horizontal plane. X is above G and to the right of G.	0.5127859464109175	"lower-right(X,K)
lower-left(E,R)
above(G,M)
below(M,G)
left(E,K)
upper-right(X,G)"
45013	F is there and I is at the 5 position of a clock face. O is below M and to the left of M. O is on the right side to X. F is below and to the right of Q. The object M is upper and slightly to the left of the object I.	0.5122124577934192	"lower-right(I,F)
lower-left(O,M)
right(O,X)
lower-right(F,Q)
upper-left(M,I)"
40730	The object J is positioned below and to the right of the object D. Q is on the left side to J. K is placed at the lower left of E. D is above E and to the left of E. M is to the top right of K.	0.5116803660257943	"lower-right(J,D)
left(Q,J)
lower-left(K,E)
upper-left(D,E)
upper-right(M,K)"
49498	The object D is positioned below and to the left of the object H. I is below P. O is at the lower side of H. Z is on the left and I is on the right. Z and O are parallel, and Z is to the right of O.	0.5105892178980471	"lower-left(D,H)
below(I,P)
below(O,H)
left(Z,I)
right(I,Z)
right(Z,O)"
45927	U is on the right side and top of V. R is at V's 6 o'clock. M is placed at the upper right of U. The object M is positioned below and to the left of the object H. G is above H and to the right of H.	0.5101228869802785	"upper-right(U,V)
below(R,V)
upper-right(M,U)
lower-left(M,H)
upper-right(G,H)"
49008	L is below and to the right of Y. G is lower right of L. H is over there and N is on the right. Y is to the upper left of Q. The object Q is positioned above and to the right of the object N.	0.5100278634086345	"lower-right(L,Y)
lower-right(G,L)
right(N,H)
upper-left(Y,Q)
upper-right(Q,N)"
46589	The object E is lower and slightly to the right of the object T. Z is to the left of G. V is positioned below and to the right of E. T is on the top and L is at the bottom. G presents upper right to V.	0.5072169398173845	"lower-right(E,T)
left(Z,G)
lower-right(V,E)
above(T,L)
below(L,T)
upper-right(G,V)"
43600	The object O is positioned above and to the left of object Q. I and J are in a horizontal line with I on the left. T is below and to the right of O. I is diagonally to the upper right of G. G is there and Q is at the 2 position of a clock face.	0.507170793004332	"upper-left(O,Q)
left(I,J)
lower-right(T,O)
upper-right(I,G)
upper-right(Q,G)"
43290	U is diagonally below S to the left at a 45 degree angle. C is over there and P is on the right. The object Q is lower and slightly to the left of the object U. Q is sitting at the top position to F. F is positioned below and to the right of P.	0.5070372446089747	"lower-left(U,S)
right(P,C)
lower-left(Q,U)
above(Q,F)
lower-right(F,P)"
48983	F is at the lower side of Q. M is to the left of F. The object Q is positioned above and to the right of the object R. W is at U’s 9 o'clock. M is below W and to the left of W.	0.5067474112073052	"below(F,Q)
left(M,F)
upper-right(Q,R)
left(W,U)
lower-left(M,W)"
30782	P is on the lower right of A. R and N are horizontal and R is to the left of N. The object N is positioned above and to the right of the object A. R is below Y at 4 o'clock.	0.5063233820616564	"lower-right(P,A)
left(R,N)
upper-right(N,A)
lower-right(R,Y)"
48542	L is placed on the top of R. C is positioned above and to the left of L. O is sitting at the lower right position to K. G is above and to the right of O. The object R is upper and slightly to the left of the object K.	0.5062026785524391	"above(L,R)
upper-left(C,L)
lower-right(O,K)
upper-right(G,O)
upper-left(R,K)"
42145	V and M are horizontal and V is to the left of M. L is over there and P is on the top of it. The object M is positioned directly above the object E. N is to the bottom right of E. L is diagonally to the upper right of N.	0.5059008264668693	"left(V,M)
above(P,L)
above(M,E)
lower-right(N,E)
upper-right(L,N)"
40285	R and W are vertical and R is below W. The object Q is lower and slightly to the left of the object I. C is to the top-left of L. Q is on the upper right of R. C is above W and to the right of W.	0.5058785459067757	"below(R,W)
lower-left(Q,I)
upper-left(C,L)
upper-right(Q,R)
upper-right(C,W)"
41226	X is there and H is at the 5 position of a clock face. C is sitting in the right direction of Q. The object C is positioned above and to the left of object P. X is on the right side and below V. H and P are horizontal and H is to the left of P.	0.5057190284478527	"lower-right(H,X)
right(C,Q)
upper-left(C,P)
lower-right(X,V)
left(H,P)"
42114	S is at the bottom and I is on the top. Y is diagonally right and above H. X is positioned below and to the right of T. The object X is positioned below and to the left of the object S. T is above H and to the right of H.	0.5055682451078509	"below(S,I)
above(I,S)
upper-right(Y,H)
lower-right(X,T)
lower-left(X,S)
upper-right(T,H)"
44834	Z is to the bottom left of T. E is at the bottom and I is on the top. C is positioned right to E. The object Y is lower and slightly to the left of the object I. Z is over there and C is on the right of it.	0.5052853690254265	"lower-left(Z,T)
below(E,I)
above(I,E)
right(C,E)
lower-left(Y,I)
right(C,Z)"
45064	O is to the right of C and is on the same horizontal plane. The object M is positioned below and to the right of the object H. C is placed at the bottom of H. O is sitting at the lower position to T. L is over there and M is on the right of it.	0.5032073743637571	"right(O,C)
lower-right(M,H)
below(C,H)
below(O,T)
right(M,L)"
35719	The object E is upper and slightly to the left of the object A. I is sitting at the lower right position to U. E is below and to the left of N. N is on the top and I is at the bottom.	0.5030641460525828	"upper-left(E,A)
lower-right(I,U)
lower-left(E,N)
above(N,I)
below(I,N)"
41398	The object A is lower and slightly to the right of the object K. K is to the right of F and is on the same horizontal plane. J is diagonally right and below F. X is to the upper left of J. O is there and A is at the 2 position of a clock face.	0.5029404686903373	"lower-right(A,K)
right(K,F)
lower-right(J,F)
upper-left(X,J)
upper-right(A,O)"
44741	I is diagonally above X to the left at a 45 degree angle. I is below J and to the right of J. The object R is upper and slightly to the right of the object X. D is sitting at the lower right position to R. O is to the left of J and is on the same horizontal plane.	0.5028838158468834	"upper-left(I,X)
lower-right(I,J)
upper-right(R,X)
lower-right(D,R)
left(O,J)"
43442	Z is to the bottom-right of S. N is positioned above and to the left of S. E and O are horizontal and E is to the right of O. The object N is lower and slightly to the right of the object Q. Q is on the left side and above O.	0.5026301475163923	"lower-right(Z,S)
upper-left(N,S)
right(E,O)
lower-right(N,Q)
upper-left(Q,O)"
41954	V is there and U is at the 5 position of a clock face. U is to the bottom left of D. F is diagonally right and above M. V is positioned below Q and to the right. The object M is positioned below and to the left of the object D.	0.5022578958491687	"lower-right(U,V)
lower-left(U,D)
upper-right(F,M)
lower-right(V,Q)
lower-left(M,D)"
46073	R is to the right of I and is on the same horizontal plane. The object J is upper and slightly to the left of the object Y. G is sitting at the 9:00 position of Y. X is over there and G is on the right. J is positioned above R and to the left.	0.5021749816920775	"right(R,I)
upper-left(J,Y)
left(G,Y)
right(G,X)
upper-left(J,R)"
41923	H is on the left and A is on the right. N is placed at the upper left of A. R is on the right side to W. The object N and W are there. The object N is below and slightly to the right of the object W. H is diagonally to the bottom left of T.	0.502110561902888	"left(H,A)
right(A,H)
upper-left(N,A)
right(R,W)
lower-right(N,W)
lower-left(H,T)"
44252	The object L and B are there. The object L is below and slightly to the right of the object B. Y is on the right and Q is on the left. L is to the right of C and is on the same horizontal plane. Z is below Y at 4 o'clock. Z is above B and to the right of B.	0.502097780771795	"lower-right(L,B)
right(Y,Q)
left(Q,Y)
right(L,C)
lower-right(Z,Y)
upper-right(Z,B)"
41676	I is over there and S is on the right of it. The object Q and B are there. The object Q is below and slightly to the right of the object B. B is above S and to the left of S. I is above and to the right of Z. A is positioned below Z and to the left.	0.502056248750703	"right(S,I)
lower-right(Q,B)
upper-left(B,S)
upper-right(I,Z)
lower-left(A,Z)"
36599	O is on the top and J is at the bottom. The object I is positioned below and to the right of the object O. J is at the lower side of T. T and C are horizontal and T is to the right of C.	0.5016917564744743	"above(O,J)
below(J,O)
lower-right(I,O)
below(J,T)
right(T,C)"
46779	E is to the top-right of P. U is above and to the left of J. O is over there and U is on the left. The object J is lower and slightly to the right of the object D. P is to the top right of O.	0.501293809470093	"upper-right(E,P)
upper-left(U,J)
left(U,O)
lower-right(J,D)
upper-right(P,O)"
49519	D is on the lower left of L. The object D is upper and slightly to the right of the object B. L is over there with J below. H is to the left of J and is on the same horizontal plane. B and G are parallel, and B is to the right of G.	0.501109810050345	"lower-left(D,L)
upper-right(D,B)
below(J,L)
left(H,J)
right(B,G)"
43716	J is at the bottom of L. N is positioned above B and to the left. N is to the top-left of L. J and Y are parallel, and J is to the right of Y. The object Y is upper and slightly to the left of the object Z.	0.5010392727431269	"below(J,L)
upper-left(N,B)
upper-left(N,L)
right(J,Y)
upper-left(Y,Z)"
44768	The object X is positioned below and to the right of the object I. H and X are parallel, and H on the left of X. O is over there and H is at the bottom of it. O is to the top-right of M. K is to the bottom-right of I.	0.5008318981624887	"lower-right(X,I)
left(H,X)
below(H,O)
upper-right(O,M)
lower-right(K,I)"
45797	H is above and to the right of X. H is sitting at the lower position to J. L is on the right side and top of C. The object P is positioned above and to the left of object L. P is above X and to the left of X.	0.5006705597638675	"upper-right(H,X)
below(H,J)
upper-right(L,C)
upper-left(P,L)
upper-left(P,X)"
47987	X is at the bottom of G and is on the same vertical plane. S is above and to the right of Q. G is placed at the lower left of S. The object F and X are there. The object F is below and slightly to the right of the object X. Q is there and T is at the 5 position of a clock face.	0.5005803025501965	"below(X,G)
upper-right(S,Q)
lower-left(G,S)
lower-right(F,X)
lower-right(T,Q)"
42339	N is to the bottom-left of F. H and N are parallel, and H on the right of N. U is below Z and to the right of Z. F is over there and E is on the top of it. The object Z is lower and slightly to the right of the object H.	0.5005596233418076	"lower-left(N,F)
right(H,N)
lower-right(U,Z)
above(E,F)
lower-right(Z,H)"
43010	The object K is positioned below and to the left of the object Y. L is at the 3 o'clock position relative to I. I is diagonally to the bottom right of C. Y is above and to the right of L. D is to the right of C and is on the same horizontal plane.	0.5003669634408624	"lower-left(K,Y)
right(L,I)
lower-right(I,C)
upper-right(Y,L)
right(D,C)"
46169	The objects D and B are over there. The object D is above and slightly to the right of the object B. X is positioned below N. O is below B and to the left of B. N is to the right of D and is on the same horizontal plane. S is sitting at the lower right position to O.	0.5002867826285182	"upper-right(D,B)
below(X,N)
lower-left(O,B)
right(N,D)
lower-right(S,O)"
42539	The object Z is positioned below and to the left of the object W. Y is to the right of W horizontally. A and Y are horizontal and A is to the left of Y. B is over there and Z is on the right. P is to the bottom right of A.	0.4996746190283072	"lower-left(Z,W)
right(Y,W)
left(A,Y)
right(Z,B)
lower-right(P,A)"
46037	The object Q is positioned above and to the right of the object O. V is to the top-right of U. X is to the right of O. Z is upper right to Q. V is over there and Z is on the left.	0.4995049186096043	"upper-right(Q,O)
upper-right(V,U)
right(X,O)
upper-right(Z,Q)
left(Z,V)"
47496	K is sitting at the lower left position to M. X is to the top-right of Q. The objects Q and C are over there. The object Q is above and slightly to the right of the object C. C is below K at 4 o'clock. G is below and to the left of X.	0.4994551680794991	"lower-left(K,M)
upper-right(X,Q)
upper-right(Q,C)
lower-right(C,K)
lower-left(G,X)"
48864	The object M is positioned directly below the object Q. C is above G and to the left of G. E is at H’s 9 o'clock. E is on the top side to M. Q is below and to the right of G.	0.4994186125538465	"below(M,Q)
upper-left(C,G)
left(E,H)
above(E,M)
lower-right(Q,G)"
36446	X is to the bottom-right of N. The object Q is positioned above and to the left of object N. F is over there and Q is on the left of it. Y is on the right side and top of X.	0.4990371163304878	"lower-right(X,N)
upper-left(Q,N)
left(Q,F)
upper-right(Y,X)"
46912	N is on the left side of and below W. W is positioned above C and to the right. C is on the lower right of A. K is there and H is at the 5 position of a clock face. Object K is above object A and to the left of it, too.	0.4988144789347948	"lower-left(N,W)
upper-right(W,C)
lower-right(C,A)
lower-right(H,K)
upper-left(K,A)"
49538	X is on the right and U is on the left. O is diagonally left and below U. The object B is positioned above and to the left of object K. P is sitting at the 6:00 position to O. X is above K and to the right of K.	0.4984741082945326	"right(X,U)
left(U,X)
lower-left(O,U)
upper-left(B,K)
below(P,O)
upper-right(X,K)"
40996	K is to the bottom left of B. N is on the left and B is on the right. The object K is lower and slightly to the right of the object W. N is above R and to the left of R. Y is above W.	0.4981400595726233	"lower-left(K,B)
left(N,B)
right(B,N)
lower-right(K,W)
upper-left(N,R)
above(Y,W)"
48337	R is to the right of B and is on the same horizontal plane. F is on the left and R is on the right. I is over there and L is at the bottom of it. F is on the left side to I. The object Z is lower and slightly to the left of the object L.	0.4981309876176371	"right(R,B)
left(F,R)
right(R,F)
below(L,I)
left(F,I)
lower-left(Z,L)"
20851	A is below and to the right of F. P is at the bottom and A is on the top. P is to the left of L.	0.4981271396361414	"lower-right(A,F)
below(P,A)
above(A,P)
left(P,L)"
49971	T is to the upper left of C. V is there and X is at the 10 position of a clock face. The object O is positioned above and to the right of the object V. T is placed on the top of O. C is positioned below H and to the left.	0.4980801293159291	"upper-left(T,C)
upper-left(X,V)
upper-right(O,V)
above(T,O)
lower-left(C,H)"
31816	H is above and to the left of W. H is to the upper left of U. S is at the bottom of L. The object S is positioned below and to the right of the object U.	0.4979307614696446	"upper-left(H,W)
upper-left(H,U)
below(S,L)
lower-right(S,U)"
43909	Z is above and to the right of T. K is at the 6 o'clock position relative to Z. P and U are parallel, and P on the right of U. The object H is upper and slightly to the left of the object K. H is positioned below P and to the left.	0.4975724141343352	"upper-right(Z,T)
below(K,Z)
right(P,U)
upper-left(H,K)
lower-left(H,P)"
49348	The object G is lower and slightly to the left of the object Q. J is positioned below V and to the right. B and V are parallel, and B on the left of V. X is at B's 6 o'clock. X is on the top side to Q.	0.4974049302773788	"lower-left(G,Q)
lower-right(J,V)
left(B,V)
below(X,B)
above(X,Q)"
34551	H is below U and to the left of U. The object K is positioned below and to the left of the object H. D is over there and U is on the right. M is on the top side to D.	0.4972068771007825	"lower-left(H,U)
lower-left(K,H)
right(U,D)
above(M,D)"
48311	S is to the left of H and is on the same horizontal plane. B is placed on the top of L. The object R is lower and slightly to the left of the object S. F and R are parallel, and F is to the right of R. B is positioned below H and to the left.	0.4971367004753139	"left(S,H)
above(B,L)
lower-left(R,S)
right(F,R)
lower-left(B,H)"
47518	Z is at the bottom of L and is on the same vertical plane. U is below and to the left of L. R and E are horizontal and R is to the left of E. F is on the left and E is on the right. Object F is above object U and to the right of it, too.	0.4969183455541427	"below(Z,L)
lower-left(U,L)
left(R,E)
left(F,E)
right(E,F)
upper-right(F,U)"
47941	S is on the right and H is on the left. S and Z are both there with the object S is to the left of object Z. E is to the left of X. Z is above and to the right of L. L is to the left of X.	0.4968518746869547	"right(S,H)
left(H,S)
left(S,Z)
left(E,X)
upper-right(Z,L)
left(L,X)"
39265	The object K is lower and slightly to the left of the object V. V is positioned below Z and to the left. J is over there and D is on the right. K and J are horizontal and K is to the right of J.	0.4968189488017775	"lower-left(K,V)
lower-left(V,Z)
right(D,J)
right(K,J)"
30284	The object C is positioned below and to the left of the object U. M is on the right and W is on the left. M and S are parallel, and M is to the left of S. W is placed at the bottom of U.	0.4967943873098155	"lower-left(C,U)
right(M,W)
left(W,M)
left(M,S)
below(W,U)"
44483	Z is on the same horizontal plane directly left to A. J is positioned above Y and to the right. U is to the right of C. The object Y and C are there. The object Y is below and slightly to the right of the object C. Z is placed at the upper left of U.	0.4966199832679563	"left(Z,A)
upper-right(J,Y)
right(U,C)
lower-right(Y,C)
upper-left(Z,U)"
49518	The object U and E are there. The object E is above and slightly to the left of the object U. F is diagonally below N to the right at a 45 degree angle. U is placed at the upper right of F. E is on the left side and above V. V is to the bottom-left of K.	0.4965820328116413	"upper-left(E,U)
lower-right(F,N)
upper-right(U,F)
upper-left(E,V)
lower-left(V,K)"
44837	E is on the right side and top of Y. H is over there and I is on the top of it. The object U is positioned below and to the left of the object H. I is placed at the lower right of E. Y is at B's 6 o'clock.	0.4960410355973407	"upper-right(E,Y)
above(I,H)
lower-left(U,H)
lower-right(I,E)
below(Y,B)"
40000	V is sitting at the 6:00 position to Z. The object A and M are there. The object M is above and slightly to the left of the object A. M is above S and to the left of S. Z is over there and J is on the right. J is to the right of A and is on the same horizontal plane.	0.495964917999971	"below(V,Z)
upper-left(M,A)
upper-left(M,S)
right(J,Z)
right(J,A)"
49522	Q is sitting at the 6:00 position to H. U is below and to the right of Y. The object Y is upper and slightly to the left of the object R. P is over there and Q is at the bottom of it. P is on top of R.	0.4958419062169029	"below(Q,H)
lower-right(U,Y)
upper-left(Y,R)
below(Q,P)
above(P,R)"
46272	The object R and M are there. The object R is below and slightly to the right of the object M. P is directly above J. P is sitting at the upper left position to B. B and R are parallel, and B is to the left of R. D is over there and J is on the right.	0.4955181294470152	"lower-right(R,M)
above(P,J)
upper-left(P,B)
left(B,R)
right(J,D)"
41892	Z is over there and H is directly below it. W is positioned in the top left corner of P. S is to the upper left of T. P and T are parallel, and P is to the right of T. The object H is lower and slightly to the left of the object S.	0.4955162244921162	"below(H,Z)
upper-left(W,P)
upper-left(S,T)
right(P,T)
lower-left(H,S)"
45940	W is to the left of F and is on the same horizontal plane. The object F is positioned above and to the left of object E. J and C are side by side with J to the right and C to the left. R is over there and J is on the top of it. C is positioned below E and to the right.	0.4954927307781023	"left(W,F)
upper-left(F,E)
right(J,C)
left(C,J)
above(J,R)
lower-right(C,E)"
43501	U is on the top side to Y. The object S is positioned above and to the right of the object U. Q is at the bottom of E and is on the same vertical plane. E and Y are parallel, and E is to the right of Y. B is at the 3 o'clock position relative to Q.	0.4954369920178841	"above(U,Y)
upper-right(S,U)
below(Q,E)
right(E,Y)
right(B,Q)"
45854	The object Y and N are there. The object Y is below and slightly to the right of the object N. Y is to the bottom-left of M. H is placed at the upper left of G. M is sitting at the 6:00 position to G. K is to the right of N and is on the same horizontal plane.	0.4954266196066877	"lower-right(Y,N)
lower-left(Y,M)
upper-left(H,G)
below(M,G)
right(K,N)"
44777	A is over there and W is at the bottom of it. The object N is positioned below and to the right of the object W. C is to the left of Y and is on the same horizontal plane. The object Y is positioned above and to the right of the object X. C is diagonally to the bottom left of A.	0.4953267060623544	"below(W,A)
lower-right(N,W)
left(C,Y)
upper-right(Y,X)
lower-left(C,A)"
44517	C and K are side by side with C to the left and K to the right. The object X is positioned above and to the left of object O. X is there and E is at the 5 position of a clock face. F is at the bottom of O and is on the same vertical plane. K is over there and F is directly below it.	0.4952619120910539	"left(C,K)
right(K,C)
upper-left(X,O)
lower-right(E,X)
below(F,O)
below(F,K)"
41622	I is on the left side of and below L. S is on top of W. The object I is positioned above and to the right of the object R. Y is at the bottom and L is on the top. Y is over there and W is on the right of it.	0.494773721223335	"lower-left(I,L)
above(S,W)
upper-right(I,R)
below(Y,L)
above(L,Y)
right(W,Y)"
47253	The object E is positioned directly below the object C. X and Q are horizontal and X is to the left of Q. D is on the left and Q is on the right. D is over there and E is on the top of it. F presents upper right to X.	0.4943898720839408	"below(E,C)
left(X,Q)
left(D,Q)
right(Q,D)
above(E,D)
upper-right(F,X)"
43170	S and C are horizontal and S is to the right of C. M is at the bottom of A vertically. The object Y and S are there. The object Y is below and slightly to the right of the object S. Y is on the right and M is on the left. W is to the top-left of C.	0.4943531703966263	"right(S,C)
below(M,A)
lower-right(Y,S)
right(Y,M)
left(M,Y)
upper-left(W,C)"
44553	The object K is positioned above and to the left of object R. O is to the top-left of R. A is below and to the right of K. J is placed at the lower right of O. J is directly above C.	0.4942185317516973	"upper-left(K,R)
upper-left(O,R)
lower-right(A,K)
lower-right(J,O)
above(J,C)"
49851	O is to the left of A and is on the same horizontal plane. O is there and F is at the 10 position of a clock face. Z is on top of F. A is diagonally to the bottom right of S. The object S is positioned above and to the left of object C.	0.4941945836130236	"left(O,A)
upper-left(F,O)
above(Z,F)
lower-right(A,S)
upper-left(S,C)"
40276	The object W is positioned above and to the left of object O. P is sitting at the top position to C. W is to the left of C. P and J are parallel, and P is on top of J. O is positioned below and to the right of L.	0.4941512644084043	"upper-left(W,O)
above(P,C)
left(W,C)
above(P,J)
lower-right(O,L)"
37396	Y is there and U is at the 5 position of a clock face. U is on the upper right of I. The object C is positioned below and to the right of the object I. Y is on the right and W is on the left.	0.4940895550720053	"lower-right(U,Y)
upper-right(U,I)
lower-right(C,I)
right(Y,W)
left(W,Y)"
32421	S is to the top-right of P. Z is there and B is at the 5 position of a clock face. The object B is upper and slightly to the left of the object D. Z is below and to the left of S.	0.4940020064148794	"upper-right(S,P)
lower-right(B,Z)
upper-left(B,D)
lower-left(Z,S)"
46814	W is at B's 3 o'clock. E is lower right of T. E is above and to the left of B. The object O is positioned above and to the right of the object N. O is diagonally to the bottom left of T.	0.4937699072171879	"right(W,B)
lower-right(E,T)
upper-left(E,B)
upper-right(O,N)
lower-left(O,T)"
43933	Z and G are parallel, and Z is to the left of G. S is to the bottom right of M. S is above C and to the right of C. G is at the bottom and I is on the top. Z is diagonally to the upper left of M.	0.4937404618677747	"left(Z,G)
lower-right(S,M)
upper-right(S,C)
below(G,I)
above(I,G)
upper-left(Z,M)"
39728	W is at the lower side of V. N is below and to the right of S. The object H is positioned above and to the right of the object V. H is there and S is at the 2 position of a clock face.	0.4937175371330806	"below(W,V)
lower-right(N,S)
upper-right(H,V)
upper-right(S,H)"
31503	D is to the bottom-left of J. Y is above and to the left of T. Y is on the right side to D. The object H is positioned below and to the left of the object T.	0.4935388903048254	"lower-left(D,J)
upper-left(Y,T)
right(Y,D)
lower-left(H,T)"
33584	X is diagonally left and below K. V is over there and Y is on the right of it. The object V is positioned above and to the right of the object O. X is above and to the left of O.	0.493426921005575	"lower-left(X,K)
right(Y,V)
upper-right(V,O)
upper-left(X,O)"
47959	U is at the bottom and M is on the top. The object N and D are there. The object D is above and slightly to the left of the object N. B is diagonally to the upper left of L. D is at B's 3 o'clock. U is on the left side and above N.	0.4933245858851596	"below(U,M)
above(M,U)
upper-left(D,N)
upper-left(B,L)
right(D,B)
upper-left(U,N)"
47620	M is on the upper right of O. The object X is positioned below and to the left of the object D. J is at O's 3 o'clock. N is over there and D is on the left. X is positioned in the lower right corner of J.	0.4932093520517271	"upper-right(M,O)
lower-left(X,D)
right(J,O)
left(D,N)
lower-right(X,J)"
44850	Q is placed at the bottom of Y. D and K are side by side with D to the right and K to the left. Q is over there and N is on the left of it. F is positioned above and to the left of K. The object N and F are there. The object N is below and slightly to the right of the object F.	0.4930791455222887	"below(Q,Y)
right(D,K)
left(K,D)
left(N,Q)
upper-left(F,K)
lower-right(N,F)"
43533	The object A is lower and slightly to the right of the object E. Y is diagonally above A to the left at a 45 degree angle. T is to the left of E. S is over there and G is on the right. Y is at G's 3 o'clock.	0.4930286107864211	"lower-right(A,E)
upper-left(Y,A)
left(T,E)
right(G,S)
right(Y,G)"
40328	W is below and to the left of U. U is diagonally below T to the left at a 45 degree angle. D is at the 6 o'clock position relative to A. X is on the right and D is on the left. The object T is upper and slightly to the right of the object X.	0.4930140776653801	"lower-left(W,U)
lower-left(U,T)
below(D,A)
right(X,D)
left(D,X)
upper-right(T,X)"
42519	I and R are parallel, and I is to the right of R. H is below M and to the right of M. C is at the 6 o'clock position relative to M. C is to the left of W and is on the same horizontal plane. The object R and W are there. The object R is below and slightly to the right of the object W.	0.4925483173279044	"right(I,R)
lower-right(H,M)
below(C,M)
left(C,W)
lower-right(R,W)"
44674	S and H are both there with the object S is to the right of object H. H is to the upper left of Q. P is on the right and Q is on the left. R is to the upper left of S. O is sitting at the lower right position to R.	0.4923519186768212	"right(S,H)
upper-left(H,Q)
right(P,Q)
left(Q,P)
upper-left(R,S)
lower-right(O,R)"
38616	The objects Q and P are over there. The object Q is lower and slightly to the left of the object P. F is above W and to the right of W. F is to the left of A and is on the same horizontal plane. W is on the top and Q is at the bottom.	0.4922813392139715	"lower-left(Q,P)
upper-right(F,W)
left(F,A)
above(W,Q)
below(Q,W)"
47215	Object E is below object W and to the left of it, too. T is above M. D is diagonally to the upper right of M. S is on the top and E is at the bottom. T is below and to the left of W.	0.4922039809804503	"lower-left(E,W)
above(T,M)
upper-right(D,M)
above(S,E)
below(E,S)
lower-left(T,W)"
41155	N is on the left side to I. W is over there with I above. V is below S and to the left of S. The object S is lower and slightly to the right of the object G. W is diagonally right and above V.	0.4921242586539062	"left(N,I)
above(I,W)
lower-left(V,S)
lower-right(S,G)
upper-right(W,V)"
47636	M is at the bottom and F is on the top. N and T are vertical and N is below T. M is over there and N is on the left of it. The object S is positioned above and to the left of object O. T is positioned above O and to the left.	0.4918291516230602	"below(M,F)
above(F,M)
below(N,T)
left(N,M)
upper-left(S,O)
upper-left(T,O)"
32700	Y is there and W is at the 2 position of a clock face. B is above and to the left of C. W is below and to the left of B. S is on the top and Y is at the bottom.	0.491741031423586	"upper-right(W,Y)
upper-left(B,C)
lower-left(W,B)
above(S,Y)
below(Y,S)"
42593	Z and N are in a vertical line with Z on top. G is sitting at the upper right position to K. The object R and X are there. The object X is above and slightly to the left of the object R. Z is placed at the lower right of X. R is to the left of K and is on the same horizontal plane.	0.4917059437111337	"above(Z,N)
upper-right(G,K)
upper-left(X,R)
lower-right(Z,X)
left(R,K)"
46670	I is to the left of J horizontally. I and S are parallel, and I is to the left of S. The object V is upper and slightly to the left of the object J. V is over there and Z is at the bottom of it. N is positioned above S and to the right.	0.4916716544527772	"left(I,J)
left(I,S)
upper-left(V,J)
below(Z,V)
upper-right(N,S)"
